country,region_name,subregion_name,sector_name,link
"Polska","Sudety","Karkonosze","Krucze Skały - Karpacz","https://wspinanie.pl/topo2/page,topo-rejony,rejon,418.html"
"Polska","Sudety","Karkonosze","Góry Wałbrzyskie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,419.html"
"Polska","Sudety","Karkonosze","Jelenia Góra i okolice","https://wspinanie.pl/topo2/page,topo-rejony,rejon,498.html"
"Polska","Sudety","Hejszowina","Szczeliniec Wielki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,124.html"
"Polska","Sudety","Hejszowina","Narożniak","https://wspinanie.pl/topo2/page,topo-rejony,rejon,538.html"
"Polska","Sudety","Rudawy Janowickie","Sokoliki (Góry Sokole)","https://wspinanie.pl/topo2/page,topo-rejony,rejon,118.html"
"Polska","Sudety","Rudawy Janowickie","Zamkowy Grzbiet","https://wspinanie.pl/topo2/page,topo-rejony,rejon,176.html"
"Polska","Sudety","Rudawy Janowickie","Starościńskie skały","https://wspinanie.pl/topo2/page,topo-rejony,rejon,431.html"
"Polska","Sudety","Rudawy Janowickie","Krowiarki","https://wspinanie.pl/topo2/page,topo-rejony,rejon,551.html"
"Polska","Sudety","Rudawy Janowickie","Grupa Krowiarek","https://wspinanie.pl/topo2/page,topo-rejony,rejon,552.html"
"Polska","Sudety","Kotlina Kłodzka","Skały Lądeckie","https://wspinanie.pl/topo2/page,topo-rejony,rejon,421.html"
"Polska","Sudety","Kotlina Kłodzka","Pasterskie Skały","https://wspinanie.pl/topo2/page,topo-rejony,rejon,466.html"
"Polska","Sudety","Kotlina Kłodzka","Skały Malwa","https://wspinanie.pl/topo2/page,topo-rejony,rejon,490.html"
"Polska","Sudety","Kotlina Kłodzka","Orle Skały (Szczytnik)","https://wspinanie.pl/topo2/page,topo-rejony,rejon,602.html"
"Polska","Sudety","Kotlina Kłodzka","Międzygórze (Masyw Śnieżnika)","https://wspinanie.pl/topo2/page,topo-rejony,rejon,603.html"
"Polska","Sudety","Pełcznica","Pałecznica","https://wspinanie.pl/topo2/page,topo-rejony,rejon,573.html"
"Polska","Sudety","Spękane Skały","Spękane Prawe","https://wspinanie.pl/topo2/page,topo-rejony,rejon,596.html"
"Polska","Sudety","Spękane Skały","Spękane Lewe","https://wspinanie.pl/topo2/page,topo-rejony,rejon,597.html"
"Polska","Podkarpacie","Czarnorzeckie Skały","Kamieniec","https://wspinanie.pl/topo2/page,topo-rejony,rejon,131.html"
"Polska","Podkarpacie","Czarnorzeckie Skały","Sokoli Grzbiet","https://wspinanie.pl/topo2/page,topo-rejony,rejon,508.html"
"Polska","Podkarpacie","Czarnorzeckie Skały","Strzelnica","https://wspinanie.pl/topo2/page,topo-rejony,rejon,537.html"
