country,region_name,subregion_name,sector_name,group_name,crag_name,route_name,rock_type,geo,exposure,link,grade,height,pitches,bolt,anchor,type,steepness
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Królestwo 2","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4159.html","VI","18m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","możliwość","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4154.html","?","18m","1","0","NIE","asekuracja własna","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","możliwość II","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4155.html","?","18m","1","0","NIE","asekuracja własna","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","możliwość III","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4158.html","?","18m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","możliwość IV","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4162.html","?","18m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Odchylenie prawicowe","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4165.html","V","20m","1","0","TAK","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Piorunochron","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4166.html","V+","18m","1","0","TAK","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Rysa meteopatów","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4167.html","VI.1","18m","1","0","TAK","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Szeroka rysa","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4168.html","IV+","18m","1","0","TAK","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Trzeci oddech kaczuchy","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4157.html","VI.1+/2","18m","1","6","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Twórczy chaos","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4160.html","VI.1+","18m","1","5","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Wściekłe gacie","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4171.html","V+","12m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Zacięcie w Gęsiarni","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4163.html","IV+","25m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Gęsiarnia","Gęsiarnia","Zgniła rysa","Wapień","N 50°10'46.092"" E 19°45'6.012""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4170.html","IV+","12m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Bazooka","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,6996.html","VI+/1","14m","1","7","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Człowiek jest mocny","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4178.html","VI.3","16m","1","6","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Drwaleń doskonały","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4180.html","VI.1","15m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Kamienne łzy","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4179.html","VI.2+","16m","1","4","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Melepecje","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4177.html","VI.2+","16m","1","6","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","możliwość","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4173.html","?","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","możliwość II","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4176.html","?","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","możliwość III","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4182.html","?","16m","1","0","NIE","asekuracja własna","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","możliwość IV","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4183.html","?","16m","1","0","NIE","asekuracja własna","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Rysa rzeźnicza","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4174.html","VI.1","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Tamtaradej","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,6435.html","VI+","15m","1","6","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Wejściowa","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4172.html","II","16m","1","0","NIE","asekuracja własna","połoga"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Zaciątko Fortecy","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4175.html","V+","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Forteca","Forteca","Zrób to sam","Wapień","N 50°10'44.004"" E 19°45'6.984""","Sektor zacieniony","https://wspinanie.pl/topo2/page,topo-droga,droga,4181.html","V","12m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Bigos hultajski","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4193.html","VI.2","12m","1","3","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Bułgarski łącznik","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4194.html","VI.3+","10m","1","3","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Czarci komin","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4185.html","V+","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Czarcie ryski","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4191.html","IV+","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Despekt","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4198.html","VI.3+","16m","1","5","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Kant Hultajski","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,7912.html","VI+/1","7m","1","4","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Męka Basi","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4200.html","VI+","16m","1","0","NIE","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Miłosny odlot","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4187.html","VI.3+","16m","1","5","NIE","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Mokre igraszki","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4195.html","VI.1+","10m","1","2","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","możliwość","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4184.html","?","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","możliwość II","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4186.html","?","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","możliwość III","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4188.html","?","16m","1","0","TAK","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","możliwość IV","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4199.html","?","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Potrójna rysa","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4197.html","IV","16m","1","0","NIE","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Prawa czarcia ryska","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4192.html","V+","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Swawolny Dyzio","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4196.html","VI.1+","8m","1","2","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Uśmiech wisielca","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4190.html","VI.3","16m","1","4","NIE","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarci Korytarz","Weekend Warriors","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4189.html","VI.2+","16m","1","5","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","Filarek im. błog. Faustyny","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4205.html","VI+","14m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","Klasyczna","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4201.html","III","14m","1","0","NIE","asekuracja własna","połoga"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","możliwość","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4206.html","?","14m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","Nie ma powrotu Johny","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4204.html","VI","14m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","Nocne latanie na miotle","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4203.html","VI+","14m","1","4","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","Porwanie Baltazara Gąbki","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4207.html","VI.3+","14m","1","5","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","Wariant do klasycznej","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4202.html","IV+","14m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - niższy wierzchołek","Wyprawa Baltazara Gąbki","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4208.html","VI.1+","12m","1","4","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Czarcie legiony","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4213.html","VI.1","16m","1","5","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Diabelski gambit","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,7176.html","VI.1","16m","1","8","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Kobieta Kot","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,7175.html","VI+","16m","1","8","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","możliwość","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4209.html","?","16m","1","0","NIE","asekuracja własna","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","możliwość II","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4212.html","?","16m","1","0","NIE","asekuracja własna","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","możliwość III","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4215.html","?","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","możliwość IV","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4216.html","?","16m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","możliwość V","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4217.html","?","14m","1","1","NIE","mieszana","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Rysa 3 maja","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4219.html","VI+","12m","1","0","TAK","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Rysa Kurtyki","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4211.html","VI.2","18m","1","8","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Święto flagi","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4218.html","VI","14m","1","0","NIE","asekuracja własna","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Uwodziciel tłumów","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4210.html","VI.3+","16m","1","8","TAK","ubezpieczona","mieszana"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Wejściowa","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,4214.html","II","8m","1","0","NIE","asekuracja własna","połoga"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Zaczarowany fortepian","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,7173.html","VI+","16m","1","9","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Czarcie Wrota - główny wierzchołek","Zaczarowany fortepian wprost","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Sektor słoneczny","https://wspinanie.pl/topo2/page,topo-droga,droga,7174.html","VI.1","16m","1","9","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Hades","Czujny przeor","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,4223.html","VI.2","12m","1","3","TAK","ubezpieczona","pionowa"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Hades","Dom, w którym straszy","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,6934.html","VI","13m","1","4","TAK","ubezpieczona","połoga"
"Polska","Jura Krakowsko-Częstochowska","Jura Południowa","Dolina Będkowska","Czarcie Wrota","Hades","Dziewczyna z Tatuażem","Wapień","N 50°10'37.9914"" E 19°44'52.0074""","Częściowo w słońcu","https://wspinanie.pl/topo2/page,topo-droga,droga,6914.html","VI.1+/2","14m","1","4","TAK","ubezpieczona","pionowa"
